date,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,zip_type,sqm_living,sqm_lot,sqm_above,sqm_basement,sqm_living15,sqm_lot15,date_year,date_month,date_week,date_year_week,ll_ratio,sqm_garden
2014-10-13,221900,3,1.0,1.0,0.0,0,3,7,1955,,98178,47.5112,-122.257,suburbs,109.62,524.9,109.62,0.0,124.49,524.9,2014,10,42,2014-41,4.788359788359788,415.28
2014-12-09,538000,3,2.25,2.0,0.0,0,3,7,1951,1991.0,98125,47.721,-122.319,suburbs,238.76,672.8,201.6,37.16,157.0,709.68,2014,12,50,2014-49,2.8178924442955267,572.0
2015-02-25,180000,2,1.0,1.0,0.0,0,3,6,1933,,98028,47.7379,-122.233,suburbs,71.53,929.02,71.53,0.0,252.69,748.98,2015,2,9,2015-08,12.987837271075072,857.49
2014-12-09,604000,4,3.0,1.0,0.0,0,5,7,1965,,98136,47.5208,-122.393,city,182.09,464.51,97.55,84.54,126.35,464.51,2014,12,50,2014-49,2.5509912680542586,366.96
2015-02-18,510000,3,2.0,1.0,0.0,0,3,8,1987,,98074,47.6168,-122.045,suburbs,156.08,750.65,156.08,0.0,167.22,697.05,2015,2,8,2015-07,4.809392619169656,594.5699999999999
2014-05-12,1230000,4,4.5,1.0,0.0,0,3,11,2001,,98053,47.6561,-122.005,suburbs,503.53,9469.53,361.39,142.14,442.21,9469.53,2014,5,20,2014-19,18.806287609477096,9108.140000000001
2014-06-27,257500,3,2.25,2.0,0.0,0,3,7,1995,,98003,47.3097,-122.327,suburbs,159.33,633.5,159.33,0.0,207.92,633.5,2014,6,26,2014-25,3.9760246030251674,553.835
2015-01-15,291850,3,1.5,1.0,0.0,0,3,7,1963,,98198,47.4095,-122.315,suburbs,98.48,902.17,98.48,0.0,153.29,902.17,2015,1,3,2015-02,9.160946385052801,803.6899999999999
2015-04-15,229500,3,1.0,1.0,0.0,0,3,7,1960,,98146,47.5123,-122.337,suburbs,165.37,693.98,97.55,67.82,165.37,753.72,2015,4,16,2015-15,4.196528995585656,596.4300000000001
2015-03-12,323000,3,2.5,2.0,0.0,0,3,7,2003,,98038,47.3684,-122.031,countryside,175.59,609.44,175.59,0.0,222.04,703.27,2015,3,11,2015-10,3.4708126886496955,521.6450000000001
2015-04-03,662500,3,2.5,1.0,0.0,0,3,8,1965,,98007,47.6007,-122.145,suburbs,330.73,910.07,172.8,157.93,205.31,829.15,2015,4,14,2015-13,2.751700783116137,737.27
2014-05-27,468000,2,1.0,1.0,0.0,0,4,7,1942,,98115,47.69,-122.292,city,107.77,557.41,79.9,27.87,123.56,557.41,2014,5,22,2014-21,5.172218613714391,477.51
2014-05-28,310000,3,1.0,1.5,0.0,0,4,7,1927,,98028,47.7558,-122.229,suburbs,132.85,1848.85,132.85,0.0,165.37,1179.58,2014,5,22,2014-21,13.916823485133609,1760.2833333333333
2014-10-07,400000,3,1.75,1.0,0.0,0,4,7,1977,,98074,47.6127,-122.045,suburbs,127.28,899.29,127.28,0.0,127.28,948.35,2014,10,41,2014-40,7.065446260213702,772.01
2015-03-12,530000,5,2.0,1.5,0.0,0,3,7,1900,,98107,47.67,-122.394,city,168.15,450.58,168.15,0.0,126.35,450.58,2015,3,11,2015-10,2.679631281593815,338.47999999999996
2015-01-24,650000,4,3.0,2.0,0.0,3,3,9,1979,,98126,47.5714,-122.375,city,274.06,464.51,183.95,90.11,198.81,371.61,2015,1,4,2015-03,1.6949208202583375,372.53499999999997
2014-07-31,395000,3,2.0,2.0,0.0,0,3,7,1994,,98019,47.7277,-121.962,countryside,175.59,1304.35,175.59,0.0,175.59,1302.3,2014,7,31,2014-30,7.428384304345349,1216.5549999999998
2014-05-29,485000,4,1.0,1.5,0.0,0,4,7,1916,,98103,47.6648,-122.343,city,148.64,399.48,148.64,0.0,149.57,399.48,2014,5,22,2014-21,2.6875672766415506,300.3866666666667
2014-12-05,189000,2,1.0,1.0,0.0,0,4,7,1921,,98002,47.3089,-122.21,suburbs,111.48,915.09,111.48,0.0,98.48,473.34,2014,12,49,2014-48,8.208557588805167,803.61
2015-04-24,230000,3,1.0,1.0,0.0,0,4,7,1969,,98003,47.3343,-122.306,suburbs,116.13,908.03,116.13,0.0,118.91,822.19,2015,4,17,2015-16,7.819082063205029,791.9
2014-05-14,385000,4,1.75,1.0,0.0,0,4,7,1947,,98133,47.7025,-122.341,suburbs,150.5,462.65,79.9,70.6,130.06,462.65,2014,5,20,2014-19,3.074086378737541,382.75
2014-08-26,2000000,3,2.75,1.0,0.0,4,3,9,1968,,98040,47.5316,-122.233,city,283.35,4168.25,216.46,66.89,381.83,1889.26,2014,8,35,2014-34,14.710605258514203,3951.79
2014-07-03,285000,5,2.5,2.0,0.0,0,3,8,1995,,98092,47.3266,-122.169,suburbs,210.89,585.28,210.89,0.0,208.1,650.78,2014,7,27,2014-26,2.775285693963678,479.835
2014-05-16,252700,2,1.5,1.0,0.0,0,3,7,1985,,98030,47.3533,-122.166,suburbs,99.41,895.86,99.41,0.0,113.34,779.08,2014,5,20,2014-19,9.011769439694197,796.45
2014-11-20,329000,3,2.25,2.0,0.0,0,4,8,1985,,98030,47.3739,-122.17298,suburbs,227.61,603.86,227.61,0.0,204.38,637.77,2014,11,47,2014-46,2.653046878432406,490.055
2014-11-03,233000,3,2.0,1.5,0.0,0,5,6,1941,,98002,47.3048,-122.218,suburbs,158.86,436.36,158.86,0.0,95.69,437.11,2014,11,45,2014-44,2.746821100339922,330.4533333333333
2014-06-26,937000,3,1.75,2.0,0.0,0,3,8,1915,,98119,47.6386,-122.36,city,227.61,250.0,162.58,65.03,163.51,331.94,2014,6,26,2014-25,1.0983700188919643,168.70999999999998
2014-12-01,667000,3,1.0,1.5,0.0,0,5,8,1909,,98112,47.6221,-122.314,city,130.06,146.88,130.06,0.0,172.8,358.7,2014,12,49,2014-48,1.129324926956789,60.17333333333333
2014-06-24,438000,3,1.75,1.0,0.0,0,3,7,1948,,98115,47.695,-122.304,city,141.21,592.72,73.39,67.82,141.21,579.25,2014,6,26,2014-25,4.197436442178316,519.33
2015-03-02,719000,4,2.5,2.0,0.0,0,3,8,2005,,98052,47.7073,-122.11,suburbs,238.76,666.39,238.76,0.0,244.33,559.83,2015,3,10,2015-09,2.7910454012397388,547.01
2014-11-10,580500,3,2.5,2.0,0.0,0,3,8,2003,,98027,47.5391,-122.07,suburbs,215.53,369.75,215.53,0.0,239.69,369.75,2014,11,46,2014-45,1.7155384401243445,261.985
2014-12-01,280000,2,1.5,3.0,0.0,0,3,7,2005,,98133,47.7274,-122.357,suburbs,110.55,117.52,110.55,0.0,129.13,163.14,2014,12,49,2014-48,1.063048394391678,80.66999999999999
2014-06-24,687500,4,1.75,1.5,0.0,0,4,7,1929,,98117,47.6823,-122.368,city,216.46,464.51,140.28,76.18,135.64,464.51,2014,6,26,2014-25,2.1459392035479996,370.99
2014-11-10,535000,3,1.0,1.5,0.0,0,4,8,1929,,98117,47.6889,-122.375,city,101.26,278.71,101.26,0.0,145.86,471.94,2014,11,46,2014-45,2.7524195141220615,211.20333333333332
2014-12-03,322500,4,2.75,1.0,0.0,0,3,7,1981,,98058,47.4276,-122.157,suburbs,191.38,618.64,118.91,72.47,187.66,810.11,2014,12,49,2014-48,3.232521684606542,499.73
2014-06-13,696000,3,2.5,1.5,0.0,0,3,8,1930,2002.0,98115,47.6827,-122.31,city,213.68,284.28,140.28,73.4,147.71,303.23,2014,6,24,2014-23,1.3304005990265817,190.76
2014-05-28,550000,4,1.0,1.0,0.0,0,1,5,1933,,98052,47.6621,-122.132,suburbs,154.22,3237.46,86.4,67.82,200.67,1065.31,2014,5,22,2014-21,20.992478277784983,3151.06
2014-12-30,640000,4,2.0,2.0,0.0,0,4,8,1904,,98107,47.6702,-122.362,city,219.25,557.41,219.25,0.0,160.72,436.64,2014,12,1,2014-52,2.5423489167616875,447.78499999999997
2015-02-13,240000,4,1.0,1.0,0.0,0,2,7,1969,,98001,47.3341,-122.282,suburbs,113.34,750.19,82.68,30.66,119.84,724.64,2015,2,7,2015-06,6.618934180342333,667.51
2014-06-20,605000,4,2.5,2.0,0.0,0,3,8,1996,,98056,47.5301,-122.18,suburbs,243.4,701.69,243.4,0.0,243.4,1104.05,2014,6,25,2014-24,2.8828677074774034,579.99
2014-07-15,625000,4,2.5,2.0,0.0,0,3,9,2000,,98074,47.6145,-122.027,suburbs,238.76,512.82,238.76,0.0,229.47,526.66,2014,7,29,2014-28,2.1478472105880386,393.44000000000005
2014-08-11,775000,4,2.25,1.0,0.0,0,3,8,1984,,98166,47.445,-122.347,suburbs,392.05,2246.93,241.55,150.5,223.89,2844.39,2014,8,33,2014-32,5.73123326106364,2005.3799999999999
2014-07-07,861990,5,2.75,2.0,0.0,0,3,9,2014,,98053,47.6848,-122.016,suburbs,333.98,523.88,333.98,0.0,336.77,523.88,2014,7,28,2014-27,1.5685969219713753,356.89
2014-10-28,685000,3,1.0,2.0,0.0,0,3,7,1922,,98119,47.6413,-122.364,city,145.86,211.82,145.86,0.0,146.79,245.26,2014,10,44,2014-43,1.452214452214452,138.89
2014-07-29,309000,3,1.0,1.0,0.0,0,4,6,1959,,98058,47.4485,-122.175,suburbs,118.91,897.06,85.47,33.44,124.49,818.28,2014,7,31,2014-30,7.544024892776049,811.5899999999999
2014-07-18,488000,3,2.5,2.0,0.0,0,3,8,2003,,98019,47.7443,-121.977,countryside,293.57,1263.75,293.57,0.0,283.35,857.67,2014,7,29,2014-28,4.304765473311305,1116.965
2015-03-25,210490,3,1.0,1.0,0.0,0,3,6,1966,,98023,47.3066,-122.371,suburbs,91.97,792.27,91.97,0.0,114.08,821.26,2015,3,13,2015-12,8.614439491138414,700.3
2014-07-16,785000,4,2.5,2.0,0.0,0,4,9,1981,,98007,47.6194,-122.151,suburbs,212.75,1246.38,212.75,0.0,248.98,1271.37,2014,7,29,2014-28,5.858425381903643,1140.005
2015-04-28,450000,3,1.75,1.0,0.0,0,4,7,1953,,98115,47.6796,-122.301,city,116.13,553.98,116.13,0.0,90.12,473.8,2015,4,18,2015-17,4.770343580470163,437.85
2015-03-11,1350000,3,2.5,1.0,1.0,2,5,9,1953,,98070,47.4041,-122.451,suburbs,255.76,6039.11,201.13,54.63,248.98,6736.62,2015,3,11,2015-10,23.612410071942445,5837.98
2014-09-16,228000,3,1.0,1.0,0.0,0,3,7,1955,,98148,47.4258,-122.322,suburbs,110.55,854.61,110.55,0.0,110.55,869.94,2014,9,38,2014-37,7.730529172320217,744.0600000000001
2015-02-17,345000,5,2.5,1.0,0.0,0,4,8,1966,,98056,47.4934,-122.189,suburbs,292.64,848.57,152.36,140.28,184.88,848.48,2015,2,8,2015-07,2.8997061235647896,696.21
2014-12-31,600000,3,1.75,1.0,0.0,0,4,7,1950,,98117,47.6808,-122.384,city,130.99,379.04,92.9,38.09,130.99,379.04,2014,12,1,2014-52,2.8936560042751354,286.14
